Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Brett Phillips,TBR,59,186,161,31,5,2,7,24,21,21,67,1,8,2,,0.195,0.289,0.376,0.665,0.289,80,,0.3,,592.3,,3.71,0.05,1.33,14735
Michael Hermosillo,CHC,35,127,111,25,5,0,5,16,14,11,37,4,2,1,,0.224,0.308,0.398,0.706,0.306,92,,0.3,,599,,3.55,-0.15,1.44,16285
Skye Bolt,OAK,23,75,66,14,3,0,2,8,7,7,21,1,1,0,,0.216,0.292,0.359,0.651,0.286,83,,0.2,,999,,3.09,0.43,1.69,17723
Jackie Bradley Jr.,BOS,85,325,290,63,15,2,8,38,31,27,88,6,5,2,,0.216,0.294,0.358,0.653,0.286,75,,0.2,,587.3,,2.75,1.09,0.81,12984
Jake Marisnick,,48,150,137,30,6,1,5,17,16,9,46,3,3,1,,0.222,0.283,0.377,0.66,0.286,80,,0.1,,999,,3.68,-0.69,1.37,11339
Derek Hill,DET,42,151,139,33,6,2,3,17,14,10,45,2,5,1,,0.235,0.291,0.371,0.662,0.288,81,,0.1,,999,,4.67,0.36,1.53,16947
Tim Locastro,NYY,35,119,107,25,5,1,2,15,10,8,24,4,4,1,,0.239,0.31,0.358,0.668,0.295,84,,0.1,,599.8,,2.22,0.99,1.66,15124
Daz Cameron,,31,118,107,24,5,1,3,14,12,9,33,2,4,1,,0.229,0.302,0.383,0.685,0.299,88,,0.1,,599.3,,4.58,1.37,1.59,18353
TJ Friedl,,35,129,114,28,5,1,3,15,12,10,22,3,2,1,,0.246,0.317,0.392,0.709,0.307,86,,0.1,,600.7,,5.3,-0.02,1.57,19522
Estevan Florial,,23,84,76,16,4,0,3,10,9,8,29,0,2,1,,0.215,0.29,0.381,0.671,0.292,82,,0.1,,600.8,,3.59,0.79,1.63,19151
Brian Goodwin,,44,166,148,34,8,1,5,19,19,16,45,1,2,1,,0.231,0.307,0.393,0.7,0.304,90,,0.1,,600.6,,4.41,-1.12,1.3,12858
Delino DeShields,MIA,16,58,50,11,2,0,1,6,4,6,15,1,2,1,,0.221,0.315,0.31,0.626,0.281,78,,0.1,,999,,3.3,4.27,1.82,11379
Gilberto Celestino,MIN,14,51,47,11,3,0,1,6,5,4,12,0,0,0,,0.241,0.302,0.384,0.687,0.298,88,,0.1,,999,,3.27,1.42,1.79,20233
Eli White,TEX,39,151,135,29,6,1,4,17,13,12,44,2,3,1,,0.215,0.289,0.348,0.637,0.28,77,,0.1,,600,,3.06,1.52,1.4,19346
Aaron Altherr,,19,69,61,14,3,0,2,8,7,6,20,1,1,0,,0.224,0.307,0.392,0.699,0.304,90,,0.1,,999,,0.26,-0.53,1.68,11270
Ryan LaMarre,,10,31,28,6,1,0,1,4,4,2,8,1,1,0,,0.228,0.303,0.391,0.693,0.303,90,,0.1,,999,,3.05,0.27,1.86,10700
Juan Lagares,,37,127,119,30,6,1,3,14,13,6,30,1,1,1,,0.249,0.291,0.383,0.674,0.29,82,,0.1,,999,,2.4,-0.06,1.54,5384
Taylor Trammell,,19,72,64,13,2,0,2,9,7,7,24,1,1,0,,0.207,0.294,0.342,0.636,0.282,81,,0,,600.9,,6.42,2.34,1.66,19960
Lewis Brinson,,25,94,87,20,4,0,3,10,10,5,25,1,1,0,,0.225,0.275,0.371,0.646,0.28,78,,0,,600.9,,3.26,1.87,1.58,14352
Rob Refsnyder,BOS,21,74,66,16,3,0,2,8,7,6,20,1,0,0,,0.245,0.314,0.383,0.697,0.302,86,,0,,999,,3.16,0.43,1.71,13770
Roman Quinn,,20,70,63,15,1,0,1,8,5,5,21,1,5,1,,0.235,0.305,0.303,0.608,0.273,73,,0,,999,,3.35,-0.12,1.87,13546
Yonathan Daza,COL,55,203,187,52,10,2,2,21,18,11,35,1,2,1,,0.277,0.321,0.378,0.699,0.305,76,,0,,599.4,,3.73,-0.15,1.58,15794
Shogo Akiyama,CIN,41,149,133,33,7,1,2,16,12,13,31,2,2,1,,0.248,0.324,0.348,0.672,0.298,80,,0,,600.8,,3.44,1.24,1.57,27461
Albert Almora Jr.,,14,38,35,9,2,0,1,4,4,2,8,0,0,0,,0.247,0.298,0.361,0.659,0.286,72,,0,,999,,4.46,1.34,1.86,14109
Travis Jankowski,NYM,24,77,68,16,3,0,0,9,5,8,17,0,3,0,,0.236,0.323,0.302,0.625,0.282,76,,0,,999,,3.39,-0.03,1.78,13768
Dillon Thomas,LAA,7,21,19,4,1,0,1,2,2,2,9,0,0,0,,0.204,0.28,0.339,0.62,0.274,71,,0,,999,,4.14,3.53,1.89,12719
DJ Peters,,12,43,39,8,2,0,2,6,7,2,15,1,0,0,,0.21,0.268,0.424,0.692,0.294,86,,0,,600.5,,3.15,2.68,1.72,19348
Ender Inciarte,NYY,13,42,38,9,2,0,0,5,3,3,9,0,1,0,,0.226,0.29,0.303,0.594,0.263,63,,0,,600,,3.55,1.17,1.83,4922
Monte Harrison,,10,23,20,4,1,0,1,2,2,2,9,0,1,0,,0.199,0.266,0.333,0.599,0.264,67,,0,,999,,3.2,3.1,1.89,17216
Jake McCarthy,ARI,78,292,262,60,12,3,7,35,28,23,83,3,13,3,,0.228,0.296,0.378,0.675,0.294,80,,0,,601,,2.77,-0.53,1.42,21622
Mickey Moniak,PHI,22,71,65,15,3,0,2,8,8,5,21,0,1,0,,0.224,0.281,0.386,0.667,0.287,76,,0,,600.8,,4.16,1.29,1.68,19956
