Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
William Contreras,ATL,15,53,48,12,3,0,2,6,6,4,14,0,0,0,,0.244,0.31,0.425,0.735,0.317,95,,0.2,,595.4,,4.37,2.15,1.76,20503
Reese McGuire,TOR,25,88,79,18,4,0,2,9,8,6,18,1,0,0,,0.231,0.292,0.344,0.636,0.279,71,,0.2,,599.7,,2.32,0.78,1.64,15674
Kurt Suzuki,LAA,46,174,156,36,7,0,5,17,20,10,29,5,0,0,,0.234,0.298,0.368,0.666,0.289,81,,0.2,,599.2,,1.86,-0.51,1.27,8259
Payton Henry,MIA,17,63,57,12,2,0,2,6,6,4,20,1,0,0,,0.218,0.286,0.35,0.636,0.28,77,,0.2,,999,,1.98,0.96,1.72,22164
Tres Barrera,WSN,23,86,77,17,4,0,2,8,9,7,20,2,0,0,,0.223,0.303,0.333,0.636,0.283,74,,0.1,,999,,2.59,1.03,1.63,19977
Jacob Nottingham,BAL,25,91,82,17,3,0,3,10,11,6,31,2,1,0,,0.202,0.274,0.356,0.629,0.275,70,,0.1,,600.5,,3.45,1.48,1.52,16448
Patrick Mazeika,,15,50,45,10,2,0,2,5,6,4,10,1,0,0,,0.226,0.292,0.377,0.669,0.29,81,,0.1,,999,,2.81,1.28,1.76,18142
José Godoy,MIN,12,40,37,9,2,0,0,4,4,3,10,0,0,0,,0.244,0.297,0.345,0.643,0.282,77,,0.1,,999,,3.06,1.66,1.84,15808
Austin Romine,,23,78,73,17,3,0,2,8,9,4,23,0,0,0,,0.232,0.272,0.346,0.618,0.269,68,,0.1,,999,,2.59,0.59,1.66,5491
Chance Sisco,,17,52,45,9,1,0,1,5,6,6,16,1,0,0,,0.2,0.303,0.296,0.599,0.273,75,,0.1,,999,,2.58,1.44,1.71,15694
Jose Herrera,ARI,12,47,41,9,2,0,1,5,5,5,11,0,0,0,,0.217,0.298,0.33,0.627,0.278,70,,0.1,,999,,2.37,1.17,1.78,sa830295
Dustin Garneau,DET,11,41,36,7,2,0,1,4,4,3,11,1,0,0,,0.206,0.282,0.376,0.658,0.283,77,,0.1,,999,,1.97,0.77,1.78,9433
Bryan Lavastida,CLE,7,25,23,6,1,0,1,3,3,2,5,0,1,0,,0.248,0.314,0.386,0.7,0.304,91,,0.1,,999,,4.48,3.94,1.9,sa3006917
Alex Jackson,,14,48,43,8,2,0,2,5,6,3,20,1,0,0,,0.186,0.27,0.347,0.617,0.271,72,,0.1,,999,,2.45,0.4,1.7,17276
Luke Maile,CLE,22,77,68,14,3,0,1,7,6,7,24,1,0,0,,0.202,0.28,0.293,0.573,0.257,60,,0.1,,999,,1.77,-0.1,1.63,13355
Korey Lee,HOU,6,24,22,5,1,0,1,3,3,2,5,0,0,0,,0.235,0.288,0.384,0.672,0.288,83,,0.1,,999,,3.62,3.89,1.89,sa3010034
Connor Wong,,8,27,26,6,1,0,1,3,3,1,9,0,0,0,,0.241,0.279,0.404,0.684,0.293,80,,0.1,,999,,3.13,3.48,1.88,19896
Brett Cumberland,BAL,8,30,26,5,1,0,1,3,3,3,10,1,0,0,,0.192,0.293,0.343,0.635,0.282,75,,0.1,,999,,1.81,2.64,1.83,sa915611
Ali Sánchez,STL,11,37,35,8,1,0,0,3,3,2,7,0,0,0,,0.241,0.288,0.317,0.605,0.267,66,,0.1,,999,,2.22,0.97,1.86,18551
Rafael Marchan,,13,46,42,10,2,0,0,5,4,3,8,1,0,0,,0.23,0.29,0.313,0.603,0.268,64,,0.1,,999,,2.47,1.13,1.81,21646
Rob Brantly,NYY,8,27,25,6,1,0,1,3,3,2,5,1,0,0,,0.229,0.292,0.346,0.638,0.281,75,,0.1,,999,,2.46,2.02,1.87,10655
Mark Kolozsvary,,8,30,27,5,1,0,1,3,3,2,11,1,0,0,,0.2,0.285,0.34,0.625,0.277,66,,0,,999,,1.68,0.7,1.83,sa3004996
Webster Rivas,SDP,8,28,25,6,1,0,0,3,2,2,6,0,0,0,,0.223,0.285,0.313,0.598,0.264,64,,0,,999,,1.69,0.91,1.87,14636
Sebastian Rivero,KCR,8,28,26,6,2,0,0,3,3,2,8,0,0,0,,0.217,0.269,0.31,0.58,0.255,58,,0,,999,,2.26,-0.03,1.86,21735
Sandy León,CLE,46,157,143,28,5,0,3,13,14,11,43,2,0,0,,0.196,0.26,0.305,0.564,0.249,54,,0,,999,,2.3,0.21,1.25,5273
Grayson Greiner,,8,29,26,5,1,0,1,3,3,2,10,0,0,0,,0.199,0.27,0.337,0.608,0.268,63,,0,,999,,1.81,0.28,1.84,17062
Aramis Garcia,CIN,19,64,59,13,3,0,2,6,7,3,20,1,0,0,,0.212,0.264,0.338,0.602,0.263,57,,0,,600.7,,2.9,2.61,1.68,16925
Tony Wolters,LAD,6,21,18,4,0,0,0,2,2,2,5,0,0,0,,0.206,0.282,0.249,0.532,0.241,48,,0,,999,,2.65,1.17,1.89,11470
Anthony Bemboom,BAL,13,47,41,8,1,0,1,4,4,4,13,0,0,0,,0.196,0.267,0.279,0.546,0.245,50,,0,,999,,2.49,0.33,1.76,13854
Andrew Knapp,CIN,50,165,144,30,6,1,4,16,15,17,52,2,0,0,,0.209,0.3,0.335,0.635,0.281,69,,0,,600.9,,2.03,-0.2,1.24,14942
Willians Astudillo,MIA,17,54,52,13,2,0,2,5,6,1,3,1,0,0,,0.251,0.282,0.383,0.665,0.286,81,,0,,600.5,,5.05,1.28,1.8,15608
Taylor Davis,,9,29,26,6,1,0,0,3,2,2,4,0,0,0,,0.223,0.294,0.288,0.581,0.261,61,,0,,999,,1.55,1.88,1.87,12782
Chad Wallach,LAA,13,41,36,7,1,0,1,4,4,3,14,0,0,0,,0.188,0.263,0.326,0.589,0.259,61,,0,,999,,2.04,1.92,1.77,17161
Drew Butera,,11,37,33,6,1,0,1,3,3,2,12,1,0,0,,0.181,0.245,0.293,0.539,0.238,46,,-0.1,,999,,1.35,0.31,1.8,3411
Seby Zavala,CHW,34,125,113,20,4,0,4,13,13,9,53,1,0,0,,0.182,0.249,0.336,0.584,0.256,58,,-0.1,,598.5,,4.33,1.76,1.28,18887
