Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,wRC+,-1,WAR,-1,ADP,-1,InterSD,InterSK,IntraSD,playerid
Seth Brown,OAK,128,460,423,95,20,2,21,55,60,32,138,3,5,2,,0.225,0.284,0.433,0.717,0.306,97,,0.7,,507.5,,4.37,-0.13,0.65,18171
Connor Joe,COL,94,371,320,85,18,1,13,47,47,42,79,5,2,1,,0.265,0.357,0.45,0.807,0.349,105,,0.7,,345.9,,3.07,-0.39,0.69,16572
Bryan De La Cruz,,67,263,241,65,12,1,6,29,27,18,61,2,2,1,,0.268,0.322,0.407,0.729,0.316,100,,0.7,,551.7,,5.48,-0.03,1.27,19600
Jo Adell,LAA,127,505,465,112,22,3,19,60,66,32,148,5,7,2,,0.241,0.296,0.427,0.722,0.31,95,,0.6,,221,,3.04,-2.54,0.45,20220
Oscar Mercado,CLE,78,301,270,64,14,1,7,35,29,23,59,3,9,3,,0.238,0.305,0.382,0.687,0.299,88,,0.6,,593.9,,5.68,0.16,1.2,16375
Chad Pinder,OAK,108,385,353,82,18,1,13,43,44,26,95,4,2,1,,0.233,0.291,0.401,0.693,0.299,92,,0.5,,574.5,,4.93,-0.16,0.4,15191
Josh Naylor,CLE,97,375,344,90,19,1,12,43,43,27,65,3,2,1,,0.261,0.319,0.423,0.742,0.32,102,,0.5,,584.5,,7.45,-0.59,0.75,18839
Dominic Smith,NYM,110,416,374,97,21,1,16,47,56,31,93,6,1,1,,0.259,0.323,0.444,0.767,0.328,106,,0.5,,458.7,,1.85,-0.12,0.55,15653
Dylan Moore,SEA,65,220,195,41,9,1,7,27,23,20,62,4,11,4,,0.213,0.299,0.381,0.68,0.298,92,,0.5,,527.8,,4.17,0.18,1.49,18042
DJ Stewart,BAL,72,280,238,52,11,1,13,33,33,36,75,4,1,0,,0.219,0.329,0.426,0.755,0.328,106,,0.5,,600.5,,3.24,-0.24,0.71,17766
